,FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS
304,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_8.txt,1536,25,8440025,960025,301281,2000,8741306,962025,1,35855,1962,1527439,10162,1563294,12124,63,6,20
305,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_10.txt,864,21,2476677,381045,299788,2000,2776465,383045,1,2659,468,1069196,7120,1071855,7588,47,8,14
306,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_12.txt,1152,24,4534296,663576,298119,2000,4832415,665576,1,11720,749,1297917,8630,1309637,9379,56,8,17
309,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_20.txt,1080,22,4477990,522742,300626,2000,4778616,524742,1,48830,2548,1375857,9139,1424687,11687,56,5,18
310,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_21.txt,2160,24,10865688,1244184,301075,2000,11166763,1246184,1,47215,3984,1449590,9663,1496805,13647,60,6,19
311,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_23.txt,1296,22,4181782,627286,300705,2000,4482487,629286,1,1823,437,1147564,7623,1149387,8060,50,8,15
312,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_24.txt,2496,27,41056218,2211040,304697,2030,41360915,2213070,3,8985755,108536,1679640,11179,10665395,119715,77,6,22
313,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_25.txt,384,18,767250,124434,298529,2000,1065779,126434,1,9067,558,988247,6589,997314,7147,42,6,13
314,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_26.txt,768,19,6133955,351366,298129,2002,6432084,353368,2,14997902,178044,1220464,8122,16218366,186166,58,4,16
315,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_27.txt,1296,23,4799111,685607,301288,2000,5100399,687607,1,7205,858,1305518,8640,1312723,9498,55,7,17
316,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_28.txt,864,21,2476677,381045,300062,2000,2776739,383045,1,6436,485,1078040,7141,1084476,7626,47,8,14
317,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_29.txt,1296,22,4181782,627286,299653,2000,4481435,629286,1,3187,494,1147661,7625,1150848,8119,50,8,15
318,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_33.txt,864,21,2476677,381045,299025,2000,2775702,383045,1,2593,461,1075241,7128,1077834,7589,47,8,14
320,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_36.txt,2304,26,32365946,1876738,302110,2015,32668056,1878753,3,9588683,107778,1603582,10657,11192265,118435,71,6,21
321,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_37.txt,1248,24,19590582,943600,300231,2003,19890813,945603,3,9397427,112606,1526345,10158,10923772,122764,68,5,20
324,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_40.txt,1728,25,7560025,1080025,300937,2000,7860962,1082025,1,4588,764,1380487,9145,1385075,9909,59,8,18
326,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_3.txt,1728,22,5854486,836374,300015,2000,6154501,838374,1,3658,530,1149105,7617,1152763,8147,50,8,15
327,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_4.txt,1536,23,7143639,812567,298015,2000,7441654,814567,1,35458,1724,1297259,8640,1332717,10364,55,7,17
